Sample_ID,trimmed_count
ucin002,623086
ucin324z,1014407
ucin119re,650451
ucin228z,889674
ucin364conc,666030
ucin208,391689
ucin005,1369235
ucin090,487050
ucin220,187753
ucin101,481924
ucin031,581686
ucin075,449423
ucin237,940794
ucin137,859133
ucin141,657691
ucin030,642346
ucin099,638268
ucin213conc,91314
ucin342re,19209
ucin076z,720661
ucin227conc,732811
ucin207,977898
ucin058z,669598
ucin252z,384957
ucin406RE,1388341
ucin410z,101137
ucin266reconc,963040
ucin052z,599017
ucin126,657784
ucin416,1387386
ucin236replicate,680678
ucin314z,477439
ucin147z,352810
ucin045,355233
ucin163z,673776
ucin098,1037674
ucin335z,950602
ucin050,1551824
ucin016,989593
ucin140,565910
ucin329,843404
ucin214z,289083
ucin083,613469
ucin399,1071062
ucin011REz,909732
ucin095,1107195
ucin041,521330
ucin116conc,502651
ucin165conc,53416
ucin222,275184
ucin383,1314857
ucin223,56673
ucin024,783393
ucin134z,235519
ucin330,262281
ucin079z,921928
ucin210RE,877641
ucin318,487790
ucin409,858709
ucin265conc,614665
ucin020,672846
ucin304,46729
ucin221,241713
ucin212RE,938589
ucin048z,405427
ucin109,535825
ucin023,802572
ucin310conc,331622
ucin412,732574
ucin028,635481
ucin074,680676
ucin118conc,806651
ucin006conc,1314347
ucin156re,947060
ucin404,1126154
ucin306,848903
ucin336,285385
ucin138,444463
ucin154re,69530
ucin418z,11599
ucin042conc,471368
ucin059,824730
ucin024replicate,639699
ucin345re,776209
ucin077z,526875
ucin060z,523973
ucin062z,722445
ucin429,56414
ucin034,978413
ucin328,693670
ucin145,906644
ucin257,1133123
ucin018z,667122
ucin362z,68654
ucin160re,449641
ucin035,761354
ucin225,739390
ucin348,540276
ucin229,400818
ucin143,208023
ucin313,864063
ucin430z,802518
ucin408re,2320986
ucin241,662953
ucin433,656800
ucin264,345005
ucin344,979609
ucin245,614437
ucin049z,656297
ucin056conc,480934
ucin124,60161
ucin240,1032498
ucin365,482406
ucin380conc,650502
ucin359,501613
ucin132,302851
ucin358conc,221427
ucin146,893006
ucin166z,198541
ucin001,604412
ucin063RE,804489
ucin078z,980866
ucin311,59457
ucin230,802017
ucin004conc,1474390
ucin159conc,604686
ucin385,506364
ucin149,696726
ucin204conc,37348
ucin010REz,964997
ucin115re,839454
ucin363,507708
ucin331,158058
ucin169z,196615
ucin164re,134013
ucin307,422369
ucin419conc,1349174
ucin354,919336
ucin338,347864
ucin029,457376
ucin421z,592709
ucin413replicate,2494078
ucin032,690588
ucin340,74513
ucin044conc,1144854
ucin096,1176654
ucin037,332436
ucin008,1438207
ucin276z,298846
ucin111,596098
ucin275,791799
ucin428z,1359757
ucin337,518225
ucin431z,75502
ucin303,223986
ucin036conc,523693
ucin108,466325
ucin061z,566111
ucin236,548187
ucin422,196632
ucin112,462376
ucin136,38072
ucin170conc,518501
ucin152,434852
ucin216,73970
ucin323,361736
ucin243,747024
ucin426,385009
ucin279concreplicate,1125146
ucin224,8521
ucin150z,324630
ucin131z,270491
ucin423z,375037
ucin129z,648525
ucin148,937467
ucin217,887602
ucin040,1195027
ucin068B,530151
ucin117conc,445226
ucin203conc,28996
ucin279conc,442736
ucin413,1157515
ucin437,470430
ucin057z,635004
ucin092,129084
ucin353z,76197
ucin105,842970
ucin436,1055103
ucin356,1118696
ucin352z,2738388
ucin206,966758
ucin120conc,479585
ucin100,985900
ucin357z,62595
ucin133,274065
ucin144,167191
ucin263,367267
ucin302,272640
ucin233,320702
ucin432z,462736
ucin379,1029046
ucin039conc,1362952
ucin270,463981
ucin334re,702593
ucin347conc,736497
ucin065,935647
ucin128,583269
ucin427RE,743602
ucin038conc,519135
ucin219,213132
ucin407RE,667927
