,Sample_ID,missing_loci_1
194,ucin244,0.1314209472981988
195,ucin245,0.05003335557038025
196,ucin246z,0.33755837224816543
197,ucin249,0.03268845897264843
198,ucin251,0.02268178785857238
199,ucin252z,0.1827885256837892
200,ucin253,0.3722481654436291
201,ucin256,0.37291527685123416
202,ucin257,0.1247498332221481
203,ucin258,0.2755170113408939
204,ucin259,0.1954636424282855
205,ucin260reconc,0.18545697131420946
206,ucin261,0.3002001334222815
207,ucin261replicate,0.6150767178118746
208,ucin262reconc,0.08872581721147432
209,ucin263,0.33689126084056037
210,ucin264,0.23882588392261508
211,ucin265conc,0.09072715143428953
212,ucin266reconc,0.10206804536357572
213,ucin267,0.01734489659773182
214,ucin268,0.015343562374916611
215,ucin269,0.019346230820547032
216,ucin270,0.1561040693795864
217,ucin271REz,0.39559706470980655
218,ucin273,0.08872581721147432
219,ucin274re,0.2981987991994663
220,ucin275,0.13208805870580387
221,ucin276z,0.23949299533022014
222,ucin277z,0.4276184122748499
223,ucin278z,0.2781854569713142
224,ucin279conc,0.28552368245497
225,ucin279concreplicate,0.01200800533689126
226,ucin300,0.16611074049366245
227,ucin301,0.11074049366244162
228,ucin302,0.30620413609072716
229,ucin303,0.3989326217478319
230,ucin304,0.8272181454302868
231,ucin305,0.3762508338892595
232,ucin306,0.08405603735823883
233,ucin307,0.27218145430286855
234,ucin308,0.5150100066711141
235,ucin309,0.13008672448298866
236,ucin310conc,0.21080720480320214
237,ucin311,0.7805203468979319
238,ucin312,0.8072048032021347
239,ucin313,0.015343562374916611
240,ucin314z,0.10073382254836558
241,ucin315,0.038692461641094064
242,ucin316,0.02068045363575717
243,ucin317z,0.15276851234156105
244,ucin318,0.06537691794529686
245,ucin319z,0.5610406937958639
246,ucin320z,0.09873248832555037
247,ucin321,0.0533689126084056
248,ucin322,0.4536357571714476
249,ucin323,0.3135423615743829
250,ucin324z,0.015343562374916611
251,ucin325re,0.8932621747831888
252,ucin326conc,0.2961974649766511
253,ucin327re,0.28218812541694466
254,ucin328,0.2695130086724483
255,ucin329,0.2008005336891261
256,ucin330,0.5196797865243495
257,ucin331,0.789859906604403
258,ucin332,0.2628418945963976
259,ucin333,0.9019346230820547
260,ucin334re,0.042028018679119414
261,ucin335z,0.02134756504336224
262,ucin336,0.2801867911941294
263,ucin337,0.10740493662441628
264,ucin338,0.19479653102068045
265,ucin339,0.3268845897264843
266,ucin340,0.705136757838559
267,ucin341conc,0.27484989993328884
268,ucin342re,0.9359573048699132
269,ucin343conc,0.02935290193462308
270,ucin344,0.012675116744496331
271,ucin345re,0.018679119412941963
272,ucin346,0.01467645096731154
273,ucin347conc,0.059372915276851235
274,ucin348,0.1514342895263509
275,ucin349conc,0.6224149432955304
276,ucin350,0.03268845897264843
277,ucin351re,0.00733822548365577
278,ucin352z,0.2448298865910607
279,ucin353z,0.7344896597731821
